name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
p72,7/13/1983,1,Police Officer                                    ,57887.15,10724.97,10724.97,68612.12,1,Police Officer                                    ,58466.02,15238.67,15238.67,73704.69,1,Police Officer                                    ,58466.02,7749.51,7749.51,66215.53,1,Police Officer                                    ,58466.02,8347.24,8347.24,66813.26,1,Police Officer                                    ,58466.02,20943.57,20943.57,79409.59,1,Police Officer                                    ,59637.6,20388.43,20388.43,80026.03
p73,8/26/1983,1,Police Officer                                    ,57887.15,7952.45,7952.45,65839.6,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p74,8/30/1983,1,Police Sergeant                                   ,66972.16,17335.16,17335.16,84307.32,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p75,9/26/1983,1,Police Sergeant                                   ,66972.16,6110.43,6110.43,73082.59,1,Police Sergeant                                   ,69308.04,932.99,932.99,70241.03,1,Police Sergeant                                   ,71015.15,6879.56,6879.56,77894.71,1,Police Sergeant                                   ,71015.15,926.1,926.1,71941.25,1,Police Sergeant                                   ,71015.15,2513.68,2513.68,73528.83,1,Police Sergeant                                   ,72577.53,391.78,391.78,72969.31
p76,10/3/1983,1,Police Officer                                    ,57887.15,10645.68,10645.68,68532.83,1,Police Officer                                    ,58466.02,3617.39,3617.39,62083.41,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p77,10/6/1983,1,Police Officer                                    ,57887.15,6567.86,6567.86,64455.01,1,Police Officer                                    ,58466.02,6219.04,6219.04,64685.06,1,Police Officer                                    ,58466.02,379.46,379.46,58845.48,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p78,11/7/1983,1,Police Officer                                    ,57887.15,4215.08,4215.08,62102.23,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p79,12/12/1983,1,Police Sergeant                                   ,66972.16,8644.03,8644.03,75616.19,1,Police Sergeant                                   ,69308.04,13126.2,13126.2,82434.24,1,Police Sergeant                                   ,71015.15,16723.27,16723.27,87738.42,1,Police Sergeant                                   ,71015.15,10354.43,10354.43,81369.58,1,Police Sergeant                                   ,71015.15,14482.42,14482.42,85497.57,1,Police Sergeant                                   ,73770.26,15026.62,15026.62,88796.88
p80,4/1/1984,1,Police Officer                                    ,57887.15,2096.43,2096.43,59983.58,1,Police Officer                                    ,58466.02,302.16,302.16,58768.18,1,N/A,0,0,NaN,0,1,Police Officer                                    ,58466.02,42.16,42.16,58508.18,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p81,4/1/1984,1,Police Sergeant                                   ,72045.02,52308.45,52308.45,124353.47,1,Police Sergeant                                   ,74559.02,11254.39,11254.39,85813.41,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
